Country,Power_Index,defense_spending,purchasing_power_parity,coastline_coverage,border_coverage,total_aircraft_strength,tank_strength,total_naval_assets,fighter_aircraft,attack_aircraft,transport_aircraft,total_military_manpower,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,defense_budget_usd,external_debt_usd,foreign_exchange_gold_reserves,total_serviceable_airports,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,waterway_coverage_km,Flag_URL,Power_Index_Rank_Gap,Power_Index_Rank,economic_assets_per_military_manpower,budget_to_gdp_ratio,Region,Alliance
Kazakhstan,1.0433,5836386000,7.39E+11,26,13364,168,353,26,37,13,21,110000,25,0,0,72,12,353,17460,126,194,287,26,,0,0,0,0,0,0,23,5836386000,25765000000,45808000000,132,0,122,16636,96167,1955000,386000,30000000000,27011000000,22623000000,2.41E+12,120279000,86349000,25605000000,2724900,43983,https://www.globalfirepower.com/imgs/flags/sml/kazakhstan.jpg,0.0612,58,6721681.818,0.007893568,Asia,CSTO
Angola,1.1045,31200000000,2.78E+11,1600,5369,278,319,32,67,6,32,107000,56,2,0,115,14,319,2258,25,575,116,32,,0,0,0,0,0,0,32,31200000000,45299000000,14243000000,107,21,64,2761,76000,1175000,121000,7783000000,5514000000,1397000000,3.43E+11,0,0,0,1246700,1300,https://www.globalfirepower.com/imgs/flags/sml/angola.jpg,0.0946,59,2600364.486,0.112133813,Africa,None
Azerbaijan,1.1991,5100000000,2.25E+11,713,2468,159,1354,32,12,20,4,128000,36,0,0,87,16,1354,14448,135,651,696,32,,0,0,4,0,0,0,17,5100000000,12378000000,12699000000,32,0,312,2944,24981,618000,109000,7000000000,34175000000,11759000000,1.70E+12,0,6000,0,86600,0,https://www.globalfirepower.com/imgs/flags/sml/azerbaijan.jpg,0.021,60,1759359.375,0.022646738,Asia,None
Belgium,1.2201,14900000000,7.49E+11,67,1297,104,0,9,44,12,7,26390,27,0,0,14,0,0,3588,0,0,0,9,10190,0,0,0,0,2,0,2,14900000000,1.59E+12,41449000000,48,7,198,3602,118414,11000,596000,0,13436000,15347000000,0,1269000,4372000,4100000000,30528,2043,https://www.globalfirepower.com/imgs/flags/sml/belgium.jpg,0.0321,61,28390640.39,0.019887111,Europe,NATO
Bulgaria,1.2522,2485350000,2.20E+11,354,1806,71,334,45,11,5,6,36950,26,0,0,23,4,334,6724,48,24,24,45,,0,0,0,0,6,3,0,2485350000,14277000000,43698000000,107,2,78,4029,19512,4000,101000,15000000,20837000,2801000000,5663000000,20970000,20557000,2174000000,110880,470,https://www.globalfirepower.com/imgs/flags/sml/bulgaria.jpg,0.0416,62,5944384.303,0.011315304,Europe,NATO
Serbia,1.2938,2770000000,1.77E+11,0,2322,115,242,30,11,17,3,22500,33,0,0,51,4,242,7190,96,150,73,30,,0,0,0,0,0,0,18,2770000000,21726000000,30484000000,46,0,0,3333,45022,13000,88000,77500000,353376000,2939000000,48139000000,33219000,37828000,7112000000,77474,587,https://www.globalfirepower.com/imgs/flags/sml/serbia.jpg,0.0113,63,7870800,0.015641499,Europe,None
Democratic Republic of the Congo,1.3051,960000000,1.64E+11,37,10481,56,212,16,0,6,10,166580,2,0,0,38,9,212,7164,16,125,81,16,,0,0,0,0,0,0,16,960000000,7926000000,3898125000,273,3,24,4007,152373,19000,35000,180000000,380000,380000,991090000,0,304000,987999000,2344858,15000,https://www.globalfirepower.com/imgs/flags/sml/democratic-republic-of-the-congo.jpg,0.0294,64,986715.0918,0.005840588,Africa,None
Cuba,1.3345,3301500000,81165000000,3735,29,20,194,19,11,0,4,50000,3,0,0,13,4,194,7792,140,364,200,19,,0,0,0,0,1,1,6,3301500000,36372600000,10442000000,120,34,65,8367,60000,34000,118000,124000000,659434000,659434000,70792000000,0,1000,0,110860,240,https://www.globalfirepower.com/imgs/flags/sml/cuba.jpg,0.0218,65,1623300,0.0406764,North America,None
Sudan,1.3563,394700000,94420000000,853,6819,183,1055,10,37,36,13,300000,33,0,0,64,35,1055,8890,100,1150,800,10,,0,0,0,0,0,0,10,394700000,21650000000,192348850,45,4,14,7251,31000,68000,129000,1250000000,0,0,84951000000,0,0,0,1861484,4068,https://www.globalfirepower.com/imgs/flags/sml/sudan.jpg,0.0196,66,314733.3333,0.004180258,Africa,None
Austria,1.3759,6103900800,5.81E+11,0,2524,90,56,0,15,0,11,25000,23,0,0,41,0,56,5160,30,0,0,0,,0,0,0,0,0,0,0,6103900800,6.93E+11,35406000000,62,0,1,6123,126233,18000,244000,35200000,618209000,8136000000,5040000000,1288000,5403000,0,83871,358,https://www.globalfirepower.com/imgs/flags/sml/austria.jpg,0.0063,67,23245240,0.010503485,Europe,EU
