country,total_population,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,external_debt,power_index,tanks_stock,tanks_readiness,self_propelled_artillery_stock,self_propelled_artillery_readiness,towed_artillery_stock,towed_artillery_readiness,rocket_artillery_stock,rocket_artillery_readiness
Suriname,646758,12316000000,58440000,142287,2500,0,150,1000,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2645000000,4.0538,0,0,0,0,0,0,0,0
Burkina Faso,23042199,60001000000,4590000000,8525614,7500,0,300,7000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3565000000,2.9213,0,0,0,0,8,3,9,4
Cambodia,17063669,123676000000,750000000,8190561,124300,0,1500,75000,2800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,8019000000,1.8434,520,286,30,17,525,289,521,287
Democratic Republic Of The Congo,115403027,164367000000,960000000,39237029,166580,30800,2550,103000,6700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,7926000000,1.3051,212,117,16,9,125,69,81,45
China,1415043270,33598000000000,303000000000,764123366,2035000,510000,403000,2545000,384000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.0,3.0,4.0,53.0,46.0,50.0,61.0,150.0,36.0,488114000000,0.0919,5,4,2,2,1,1,2,2
Mexico,130739927,2883000000000,9100000000,61447766,387000,98653,30515,275443,92043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,1.0,3.0,0.0,142.0,0.0,306308000000,0.6401,0,0,35,21,0,0,0,0
Chad,19093595,52895000000,706800000,6873694,37750,0,350,37750,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2286000000,1.8594,90,50,10,6,13,7,16,9
Moldova,3599528,39342000000,114114000,2159717,6500,2000,700,4000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2637000000,3.6225,0,0,4,2,67,34,11,6
Turkey,84119531,3018000000000,51400000000,42985080,481000,380000,52850,401500,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,1.0,0.0,17.0,9.0,14.0,40.0,11.0,149654000000,0.1975,2,1,1,732,635,445,237,166
Switzerland,8860574,741035000000,8372658426,3898653,147178,0,20000,127178,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2420000000000,0.8396,134,94,133,93,0,0,0,0
Serbia,6652212,177093000000,2770000000,3259584,22500,2000,3000,13200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21726000000,1.2938,242,145,96,58,150,90,73,44
Latvia,1801246,72516000000,42000000,810561,17870,38000,250,55870,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,48598440000,2.2316,0,0,47,31,0,0,0,0
Australia,26768598,1635000000000,57350000000,11242811,58910,33270,21584,44235,20607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,2.0,3.0,7.0,0.0,6.0,13.0,3.0,3770254730000,0.3208,46,35,0,0,48,36,8,6
Colombia,49588357,978024000000,15800000000,24298295,429000,998000,25000,2048583,35100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,9.0,2.0,4.0,158.0,0.0,108027000000,0.7551,0,0,6,4,110,72,0,0
Cameroon,30966105,143264000000,835694942,10528476,38000,0,420,47000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,11112000000,2.1689,0,0,18,10,52,29,20,11
Vietnam,105758975,1456000000000,10200000000,54994667,450000,5000000,35000,5450000,50000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,9.0,17.0,6.0,27.0,8.0,34426000000,0.4066,1,1,30,18,3,1,774,464
